player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot
P01247,Ronwen Mokoena,23,South African,South Africa,25,Forward,169,69,Right
P01229,Teboho Maela,24,South African,South Africa,7,Defender,179,76,Left
P01244,Themba Xoki,24,South African,South Africa,22,Forward,178,75,Right
P01233,Luther Maboe,22,South African,South Africa,11,Defender,190,81,Right
P01238,Teboho Billiat,26,South African,South Africa,16,Midfielder,186,79,Right
P01246,Teboho Zwane,26,South African,South Africa,24,Forward,169,72,Right
P01226,Percy Williams,25,South African,South Africa,4,Defender,172,73,Right
P01227,Themba Sithole,29,South African,South Africa,5,Defender,184,77,Right
P01237,Lyle Mothiba,19,South African,South Africa,15,Midfielder,174,70,Right
P01234,Evidence Zungu,34,South African,South Africa,12,Defender,184,80,Right
P01235,Percy Lorch,31,South African,South Africa,13,Midfielder,183,76,Left
P01236,Themba Mdantsane,22,South African,South Africa,14,Midfielder,177,69,Right
P01245,Lyle Mbatha,24,South African,South Africa,23,Forward,171,72,Right
P01232,Sphephelo Moseamedi,25,South African,South Africa,10,Defender,173,70,Right
P01248,Mothobi Mvala,29,South African,South Africa,26,Forward,183,82,Right
P01231,Mothobi Mokoena,33,South African,South Africa,9,Defender,188,76,Right
P01230,Ronwen Dolly,30,South African,South Africa,8,Defender,183,76,Left
P01242,Luther Zwane,25,South African,South Africa,20,Midfielder,172,71,Right
P01224,Themba Mokoena,26,South African,South Africa,2,Goalkeeper,188,77,Right
P01223,Percy Zwane,32,South African,South Africa,1,Goalkeeper,187,81,Right
P00626,Gianluca Advincula,25,Peruvian,Peru,2,Goalkeeper,195,77,Right
P00635,Sergio Lora,22,Peruvian,Peru,11,Defender,187,79,Right
P00650,Christian Cueva,26,Peruvian,Peru,26,Forward,175,72,Right
P00629,Gianluca Tapia,23,Peruvian,Peru,5,Defender,189,75,Left
P00638,Gianluca Peña,29,Peruvian,Peru,14,Midfielder,173,73,Right
P00633,Christian Valera,28,Peruvian,Peru,9,Defender,190,81,Right
P00636,Alexander Hohberg,27,Peruvian,Peru,12,Defender,179,79,Left
P00632,André Yotun,27,Peruvian,Peru,8,Defender,188,81,Right
P00639,Pedro Garcia,29,Peruvian,Peru,15,Midfielder,182,76,Right
P00630,Pedro Callens,29,Peruvian,Peru,6,Defender,191,79,Right
P00642,Christian Urruti,28,Peruvian,Peru,18,Midfielder,174,79,Right
P00648,Luis Lapadula,29,Peruvian,Peru,24,Forward,174,73,Left
P00646,Gianluca Urruti,26,Peruvian,Peru,22,Forward,184,74,Right
P00647,Pedro Lliuya,25,Peruvian,Peru,23,Forward,194,75,Right
P00634,Renato Traverso,33,Peruvian,Peru,10,Defender,179,80,Right
P00637,Paolo Flores,33,Peruvian,Peru,13,Midfielder,180,74,Right
P00628,Paolo Carrillo,29,Peruvian,Peru,4,Defender,179,78,Right
P00641,André Gonzalez,27,Peruvian,Peru,17,Midfielder,177,73,Right
P00631,Luis Abram,34,Peruvian,Peru,7,Defender,183,79,Left
P00640,Luis Cartagena,30,Peruvian,Peru,16,Midfielder,176,68,Right
P00644,Sergio Lapadula,22,Peruvian,Peru,20,Midfielder,182,76,Left
P00649,André Advincula,18,Peruvian,Peru,25,Forward,183,70,Right
P00643,Renato Lliuya,28,Peruvian,Peru,19,Midfielder,181,77,Right
P00645,Paolo Gonzalez,27,Peruvian,Peru,21,Forward,167,76,Right
P00625,Paolo Lapadula,30,Peruvian,Peru,1,Goalkeeper,180,71,Right
P00627,Pedro Cueva,23,Peruvian,Peru,3,Goalkeeper,187,76,Right
P00133,Memphis van Dijk,31,Dutch,Netherlands,3,Goalkeeper,190,83,Right
P00141,Teun Gravenberch,18,Dutch,Netherlands,11,Defender,179,74,Right
P00147,Matthijs Wijndal,25,Dutch,Netherlands,17,Midfielder,179,78,Right
P00145,Memphis van de Ven,19,Dutch,Netherlands,15,Midfielder,181,76,Right
P00140,Denzel Malen,27,Dutch,Netherlands,10,Defender,183,76,Right
P00136,Memphis Simons,26,Dutch,Netherlands,6,Defender,179,73,Right
P00153,Memphis Zerrouki,25,Dutch,Netherlands,23,Forward,166,71,Right
P00135,Cody Dumfries,30,Dutch,Netherlands,5,Defender,181,78,Right
P00154,Daley Gakpo,26,Dutch,Netherlands,24,Forward,185,76,Left
P00144,Cody de Jong,25,Dutch,Netherlands,14,Midfielder,184,84,Left
P00156,Virgil van Dijk,29,Dutch,Netherlands,26,Forward,177,72,Right
P00138,Matthijs Timber,31,Dutch,Netherlands,8,Defender,192,75,Right
P00137,Daley Berghuis,26,Dutch,Netherlands,7,Defender,187,75,Left
P00146,Daley Frimpong,24,Dutch,Netherlands,16,Midfielder,174,74,Right
P00142,Xavi Veerman,29,Dutch,Netherlands,12,Defender,189,76,Right
P00149,Denzel Zerrouki,31,Dutch,Netherlands,19,Midfielder,180,76,Right
P00134,Frenkie de Ligt,25,Dutch,Netherlands,4,Defender,191,84,Right
P00155,Matthijs Blind,20,Dutch,Netherlands,25,Forward,184,79,Right
P00152,Cody Lang,23,Dutch,Netherlands,22,Forward,190,83,Right
P00150,Teun Gakpo,21,Dutch,Netherlands,20,Midfielder,177,76,Right
P00148,Virgil Lang,22,Dutch,Netherlands,18,Midfielder,183,78,Right
P00139,Virgil Weghorst,29,Dutch,Netherlands,9,Defender,189,79,Right
P00151,Frenkie Wijndal,30,Dutch,Netherlands,21,Forward,172,72,Right
P00143,Frenkie Ake,25,Dutch,Netherlands,13,Midfielder,179,76,Right
P00131,Frenkie Gakpo,29,Dutch,Netherlands,1,Goalkeeper,188,82,Right
P00132,Cody Blind,37,Dutch,Netherlands,2,Goalkeeper,191,80,Right
P01041,Achraf Saiss,30,Moroccan,Morocco,1,Goalkeeper,188,78,Right
P01054,Romain Aboukhlal,18,Moroccan,Morocco,14,Midfielder,183,85,Right
P01059,Noussair Chibi,22,Moroccan,Morocco,19,Midfielder,182,75,Right
P01048,Yassine Dari,32,Moroccan,Morocco,8,Defender,181,74,Right
P01063,Nayef Chibi,17,Moroccan,Morocco,23,Forward,168,70,Right
P01045,Romain Mazraoui,33,Moroccan,Morocco,5,Defender,188,81,Right
P01062,Romain Aguerd,29,Moroccan,Morocco,22,Forward,168,69,Right
P01058,Hakim Aguerd,21,Moroccan,Morocco,18,Midfielder,182,78,Left
P01050,Noussair El Khannouss,23,Moroccan,Morocco,10,Defender,180,74,Left
P01065,Yassine Amrabat,31,Moroccan,Morocco,25,Forward,181,77,Left
P01066,Hakim Ziyech,19,Moroccan,Morocco,26,Forward,188,81,Right
P01064,Sofyan Saiss,32,Moroccan,Morocco,24,Forward,186,76,Right
P01047,Sofyan Hakimi,27,Moroccan,Morocco,7,Defender,183,77,Right
P01057,Yassine El Yamiq,19,Moroccan,Morocco,17,Midfielder,177,77,Right
P01056,Sofyan Chair,28,Moroccan,Morocco,16,Midfielder,191,79,Left
P01060,Selim Saiss,21,Moroccan,Morocco,20,Midfielder,186,82,Right
P01049,Hakim Ezzalzouli,26,Moroccan,Morocco,9,Defender,184,73,Right
P01055,Nayef Saibari,24,Moroccan,Morocco,15,Midfielder,175,70,Right
P01061,Achraf El Yamiq,21,Moroccan,Morocco,21,Forward,181,72,Right
P01053,Achraf Amellah,24,Moroccan,Morocco,13,Midfielder,186,77,Left
P01044,Achraf Bounou,29,Moroccan,Morocco,4,Defender,190,79,Right
P01046,Nayef Boufal,28,Moroccan,Morocco,6,Defender,183,76,Right
P01051,Selim Benoun,24,Moroccan,Morocco,11,Defender,185,75,Left
P01052,Azzedine Riad,24,Moroccan,Morocco,12,Defender,184,76,Left
P01042,Romain Amrabat,26,Moroccan,Morocco,2,Goalkeeper,187,73,Right
P01043,Nayef Ziyech,28,Moroccan,Morocco,3,Goalkeeper,189,78,Left
P01017,Idrissa Sarr,28,Senegalese,Senegal,3,Goalkeeper,189,82,Right
P01031,Boulaye Diouf,30,Senegalese,Senegal,17,Midfielder,176,71,Left
P01036,Kalidou Faye,25,Senegalese,Senegal,22,Forward,165,66,Right
P01030,Edouard Ndiaye,30,Senegalese,Senegal,16,Midfielder,177,74,Left
P01023,Pape Gomis,22,Senegalese,Senegal,9,Defender,175,74,Left
P01037,Idrissa Seck,31,Senegalese,Senegal,23,Forward,163,71,Right
P01019,Kalidou Mendy,25,Senegalese,Senegal,5,Defender,179,75,Right
P01034,Ismaila Koulibaly,25,Senegalese,Senegal,20,Midfielder,177,72,Right
P01038,Edouard Koulibaly,34,Senegalese,Senegal,24,Forward,170,71,Left
P01039,Boulaye Mendy,24,Senegalese,Senegal,25,Forward,180,77,Left
P01033,Ferland Seck,23,Senegalese,Senegal,19,Midfielder,185,79,Right
P01026,Moussa Fall,30,Senegalese,Senegal,12,Defender,183,77,Right
P01020,Idrissa N'Diaye,22,Senegalese,Senegal,6,Defender,182,80,Left
P01022,Boulaye Niang,36,Senegalese,Senegal,8,Defender,180,75,Left
P01029,Idrissa Dia,22,Senegalese,Senegal,15,Midfielder,182,74,Right
P01025,Ismaila Ba,29,Senegalese,Senegal,11,Defender,185,81,Left
P01021,Edouard Cisse,31,Senegalese,Senegal,7,Defender,187,80,Right
P01024,Ferland Sow,32,Senegalese,Senegal,10,Defender,182,75,Left
P01040,Pape Sarr,27,Senegalese,Senegal,26,Forward,186,78,Right
P01035,Sadio Diouf,24,Senegalese,Senegal,21,Forward,180,71,Right
P01032,Pape Faye,22,Senegalese,Senegal,18,Midfielder,178,74,Left
P01028,Kalidou Diallo,21,Senegalese,Senegal,14,Midfielder,182,79,Right
P01027,Sadio Sabaly,25,Senegalese,Senegal,13,Midfielder,174,73,Right
P01018,Sadio Diatta,28,Senegalese,Senegal,4,Defender,181,77,Right
P01016,Kalidou Mendy,25,Senegalese,Senegal,2,Goalkeeper,191,79,Right
P01015,Sadio Koulibaly,24,Senegalese,Senegal,1,Goalkeeper,185,79,Right
P01172,Ismael Brahimi,34,Algerian,Algeria,2,Goalkeeper,187,80,Right
P01196,Ramiz Mandrea,23,Algerian,Algeria,26,Forward,185,75,Left
P01193,Sofiane Kara,24,Algerian,Algeria,23,Forward,181,71,Right
P01178,Houssem Belkebla,36,Algerian,Algeria,8,Defender,181,82,Left
P01186,Yacine Benkhemassa,25,Algerian,Algeria,16,Midfielder,177,72,Left
P01183,Riyad Benrahma,30,Algerian,Algeria,13,Midfielder,181,71,Right
P01179,Ramiz Slimani,29,Algerian,Algeria,9,Defender,192,81,Right
P01176,Sofiane Zerrouki,31,Algerian,Algeria,6,Defender,179,73,Right
P01189,Adam Kara,21,Algerian,Algeria,19,Midfielder,177,75,Right
P01194,Yacine Bennacer,30,Algerian,Algeria,24,Forward,185,77,Left
P01182,Islam Touzi,19,Algerian,Algeria,12,Defender,178,69,Right
P01192,Ismael Boufantin,29,Algerian,Algeria,22,Forward,177,78,Right
P01174,Riyad Bensebaini,22,Algerian,Algeria,4,Defender,193,80,Right
P01191,Riyad Mokrani,28,Algerian,Algeria,21,Forward,192,76,Left
P01177,Yacine Aouar,20,Algerian,Algeria,7,Defender,183,79,Right
P01181,Nabil Khezami,29,Algerian,Algeria,11,Defender,183,83,Right
P01188,Ramiz Boufantin,28,Algerian,Algeria,18,Midfielder,188,78,Right
P01180,Adam Toudic,20,Algerian,Algeria,10,Defender,184,78,Right
P01187,Houssem Mokrani,24,Algerian,Algeria,17,Midfielder,176,72,Left
P01190,Nabil Bennacer,24,Algerian,Algeria,20,Midfielder,178,76,Left
P01184,Ismael Brahim,21,Algerian,Algeria,14,Midfielder,187,79,Left
P01195,Houssem Brahimi,27,Algerian,Algeria,25,Forward,168,69,Right
P01175,Ismael Benlamri,30,Algerian,Algeria,5,Defender,183,77,Left
P01185,Sofiane Bayo,18,Algerian,Algeria,15,Midfielder,178,68,Right
P01171,Riyad Bennacer,28,Algerian,Algeria,1,Goalkeeper,192,79,Right
P01173,Sofiane Mandrea,32,Algerian,Algeria,3,Goalkeeper,192,79,Right
P00105,Gianluigi Chiesa,33,Italian,Italy,1,Goalkeeper,187,75,Right
P00116,Alessandro Udogie,24,Italian,Italy,12,Defender,185,77,Left
P00115,Stephan Guglielmo,25,Italian,Italy,11,Defender,189,77,Left
P00111,Sandro Scamacca,26,Italian,Italy,7,Defender,184,75,Right
P00119,Nicolo Vicario,27,Italian,Italy,15,Midfielder,170,74,Right
P00122,Ciro Colpani,26,Italian,Italy,18,Midfielder,177,76,Right
P00112,Marco Locatelli,24,Italian,Italy,8,Defender,186,74,Right
P00124,Stephan Chiesa,27,Italian,Italy,20,Midfielder,177,75,Right
P00129,Marco Tonali,27,Italian,Italy,25,Forward,171,68,Left
P00125,Gianluigi Calafiori,25,Italian,Italy,21,Forward,189,77,Right
P00114,Lorenzo Frascati,20,Italian,Italy,10,Defender,192,76,Right
P00123,Lorenzo Retegui,34,Italian,Italy,19,Midfielder,177,74,Right
P00128,Sandro Chiesa,31,Italian,Italy,24,Forward,185,78,Right
P00109,Federico Pellegrini,24,Italian,Italy,5,Defender,172,71,Right
P00120,Sandro Bellanova,22,Italian,Italy,16,Midfielder,174,70,Right
P00113,Ciro Spinazzola,31,Italian,Italy,9,Defender,186,77,Right
P00118,Federico Berardi,27,Italian,Italy,14,Midfielder,182,79,Right
P00117,Gianluigi Di Lorenzo,34,Italian,Italy,13,Midfielder,182,74,Left
P00108,Gianluigi Verratti,31,Italian,Italy,4,Defender,182,71,Right
P00121,Marco Calafiori,24,Italian,Italy,17,Midfielder,184,76,Right
P00127,Nicolo Retegui,29,Italian,Italy,23,Forward,182,80,Left
P00130,Ciro Immobile,31,Italian,Italy,26,Forward,163,72,Right
P00126,Federico Colpani,29,Italian,Italy,22,Forward,175,74,Right
P00110,Nicolo Bastoni,29,Italian,Italy,6,Defender,182,80,Left
P00106,Federico Tonali,38,Italian,Italy,2,Goalkeeper,183,77,Right
P00107,Nicolo Immobile,29,Italian,Italy,3,Goalkeeper,189,79,Right
P00470,Vinicius Martins,34,Brazilian,Brazil,2,Goalkeeper,186,84,Left
P00488,Richarlison Junior,32,Brazilian,Brazil,20,Midfielder,182,76,Right
P00493,Casemiro Martins,30,Brazilian,Brazil,25,Forward,178,73,Left
P00481,Neymar Pereira,20,Brazilian,Brazil,13,Midfielder,183,75,Right
P00487,Alisson Reis,29,Brazilian,Brazil,19,Midfielder,175,71,Right
P00484,Gabriel Souza,30,Brazilian,Brazil,16,Midfielder,177,75,Right
P00485,Casemiro Carvalho,29,Brazilian,Brazil,17,Midfielder,185,72,Right
P00477,Marquinhos Santos,32,Brazilian,Brazil,9,Defender,192,74,Left
P00479,Richarlison Ferreira,27,Brazilian,Brazil,11,Defender,185,73,Right
P00478,Alisson Oliveira,30,Brazilian,Brazil,10,Defender,191,78,Right
P00483,Rodrygo Costa,24,Brazilian,Brazil,15,Midfielder,181,72,Right
P00474,Rodrygo Fabinho,28,Brazilian,Brazil,6,Defender,181,78,Right
P00480,Bruno Lima,22,Brazilian,Brazil,12,Defender,185,77,Right
P00476,Casemiro Alexandre,29,Brazilian,Brazil,8,Defender,184,79,Right
P00473,Vinicius Guimaraes,20,Brazilian,Brazil,5,Defender,187,77,Left
P00491,Rodrygo Reis,27,Brazilian,Brazil,23,Forward,169,74,Left
P00486,Marquinhos Nunes,29,Brazilian,Brazil,18,Midfielder,185,83,Left
P00492,Gabriel Junior,24,Brazilian,Brazil,24,Forward,181,76,Right
P00472,Neymar Mendes,29,Brazilian,Brazil,4,Defender,187,76,Right
P00482,Vinicius Moreira,30,Brazilian,Brazil,14,Midfielder,178,77,Left
P00494,Marquinhos Paqueta,27,Brazilian,Brazil,26,Forward,177,75,Right
P00475,Gabriel Alisson,31,Brazilian,Brazil,7,Defender,179,72,Right
P00489,Neymar Carvalho,28,Brazilian,Brazil,21,Forward,183,72,Right
P00490,Vinicius Nunes,23,Brazilian,Brazil,22,Forward,183,76,Right
P00469,Neymar Junior,31,Brazilian,Brazil,1,Goalkeeper,193,85,Right
P00471,Rodrygo Paqueta,38,Brazilian,Brazil,3,Goalkeeper,190,79,Right
P00131,Frenkie Gakpo,29,Dutch,Netherlands,1,Goalkeeper,188,82,Right
P00141,Teun Gravenberch,18,Dutch,Netherlands,11,Defender,179,74,Right
P00144,Cody de Jong,25,Dutch,Netherlands,14,Midfielder,184,84,Left
P00135,Cody Dumfries,30,Dutch,Netherlands,5,Defender,181,78,Right
P00152,Cody Lang,23,Dutch,Netherlands,22,Forward,190,83,Right
P00137,Daley Berghuis,26,Dutch,Netherlands,7,Defender,187,75,Left
P00146,Daley Frimpong,24,Dutch,Netherlands,16,Midfielder,174,74,Right
P00147,Matthijs Wijndal,25,Dutch,Netherlands,17,Midfielder,179,78,Right
P00143,Frenkie Ake,25,Dutch,Netherlands,13,Midfielder,179,76,Right
P00136,Memphis Simons,26,Dutch,Netherlands,6,Defender,179,73,Right
P00138,Matthijs Timber,31,Dutch,Netherlands,8,Defender,192,75,Right
P00150,Teun Gakpo,21,Dutch,Netherlands,20,Midfielder,177,76,Right
P00142,Xavi Veerman,29,Dutch,Netherlands,12,Defender,189,76,Right
P00134,Frenkie de Ligt,25,Dutch,Netherlands,4,Defender,191,84,Right
P00154,Daley Gakpo,26,Dutch,Netherlands,24,Forward,185,76,Left
P00139,Virgil Weghorst,29,Dutch,Netherlands,9,Defender,189,79,Right
P00155,Matthijs Blind,20,Dutch,Netherlands,25,Forward,184,79,Right
P00140,Denzel Malen,27,Dutch,Netherlands,10,Defender,183,76,Right
P00153,Memphis Zerrouki,25,Dutch,Netherlands,23,Forward,166,71,Right
P00151,Frenkie Wijndal,30,Dutch,Netherlands,21,Forward,172,72,Right
P00145,Memphis van de Ven,19,Dutch,Netherlands,15,Midfielder,181,76,Right
P00148,Virgil Lang,22,Dutch,Netherlands,18,Midfielder,183,78,Right
P00149,Denzel Zerrouki,31,Dutch,Netherlands,19,Midfielder,180,76,Right
P00156,Virgil van Dijk,29,Dutch,Netherlands,26,Forward,177,72,Right
P00133,Memphis van Dijk,31,Dutch,Netherlands,3,Goalkeeper,190,83,Right
P00132,Cody Blind,37,Dutch,Netherlands,2,Goalkeeper,191,80,Right
P00627,Pedro Cueva,23,Peruvian,Peru,3,Goalkeeper,187,76,Right
P00648,Luis Lapadula,29,Peruvian,Peru,24,Forward,174,73,Left
P00635,Sergio Lora,22,Peruvian,Peru,11,Defender,187,79,Right
P00633,Christian Valera,28,Peruvian,Peru,9,Defender,190,81,Right
P00631,Luis Abram,34,Peruvian,Peru,7,Defender,183,79,Left
P00650,Christian Cueva,26,Peruvian,Peru,26,Forward,175,72,Right
P00634,Renato Traverso,33,Peruvian,Peru,10,Defender,179,80,Right
P00644,Sergio Lapadula,22,Peruvian,Peru,20,Midfielder,182,76,Left
P00642,Christian Urruti,28,Peruvian,Peru,18,Midfielder,174,79,Right
P00638,Gianluca Peña,29,Peruvian,Peru,14,Midfielder,173,73,Right
P00632,André Yotun,27,Peruvian,Peru,8,Defender,188,81,Right
P00637,Paolo Flores,33,Peruvian,Peru,13,Midfielder,180,74,Right
P00628,Paolo Carrillo,29,Peruvian,Peru,4,Defender,179,78,Right
P00636,Alexander Hohberg,27,Peruvian,Peru,12,Defender,179,79,Left
P00640,Luis Cartagena,30,Peruvian,Peru,16,Midfielder,176,68,Right
P00647,Pedro Lliuya,25,Peruvian,Peru,23,Forward,194,75,Right
P00643,Renato Lliuya,28,Peruvian,Peru,19,Midfielder,181,77,Right
P00645,Paolo Gonzalez,27,Peruvian,Peru,21,Forward,167,76,Right
P00649,André Advincula,18,Peruvian,Peru,25,Forward,183,70,Right
P00639,Pedro Garcia,29,Peruvian,Peru,15,Midfielder,182,76,Right
P00629,Gianluca Tapia,23,Peruvian,Peru,5,Defender,189,75,Left
P00641,André Gonzalez,27,Peruvian,Peru,17,Midfielder,177,73,Right
P00630,Pedro Callens,29,Peruvian,Peru,6,Defender,191,79,Right
P00646,Gianluca Urruti,26,Peruvian,Peru,22,Forward,184,74,Right
P00626,Gianluca Advincula,25,Peruvian,Peru,2,Goalkeeper,195,77,Right
P00625,Paolo Lapadula,30,Peruvian,Peru,1,Goalkeeper,180,71,Right
P00444,Scott McGregor,32,Scottish,Scotland,2,Goalkeeper,188,77,Right
P00455,Andrew Ferguson,26,Scottish,Scotland,13,Midfielder,180,74,Left
P00468,Liam Gilmour,23,Scottish,Scotland,26,Forward,177,76,Right
P00450,Graeme Doak,31,Scottish,Scotland,8,Defender,181,74,Right
P00461,Ryan Clark,23,Scottish,Scotland,19,Midfielder,187,81,Left
P00451,Liam Turnbull,31,Scottish,Scotland,9,Defender,183,76,Right
P00459,Graeme Jack,27,Scottish,Scotland,17,Midfielder,169,70,Right
P00447,Scott Patterson,23,Scottish,Scotland,5,Defender,197,79,Right
P00453,Callum Christie,31,Scottish,Scotland,11,Defender,172,71,Right
P00454,Kieran Dykes,25,Scottish,Scotland,12,Defender,181,80,Right
P00463,Andrew Jack,22,Scottish,Scotland,21,Forward,181,72,Right
P00465,John Clark,23,Scottish,Scotland,23,Forward,186,78,Left
P00462,Callum McTominay,26,Scottish,Scotland,20,Midfielder,187,77,Left
P00456,Scott Lewis,24,Scottish,Scotland,14,Midfielder,180,76,Right
P00446,Andrew Adams,21,Scottish,Scotland,4,Defender,195,81,Right
P00448,John Hanley,27,Scottish,Scotland,6,Defender,182,77,Right
P00460,Liam Gallagher,28,Scottish,Scotland,18,Midfielder,188,82,Right
P00458,Stuart Shankland,21,Scottish,Scotland,16,Midfielder,176,75,Left
P00457,John Armstrong,26,Scottish,Scotland,15,Midfielder,178,75,Right
P00449,Stuart Hendry,27,Scottish,Scotland,7,Defender,180,72,Left
P00452,Ryan Forrest,26,Scottish,Scotland,10,Defender,180,75,Right
P00464,Scott Gallagher,29,Scottish,Scotland,22,Forward,177,78,Right
P00467,Graeme McGregor,31,Scottish,Scotland,25,Forward,188,78,Right
P00466,Stuart McTominay,21,Scottish,Scotland,24,Forward,183,78,Right
P00445,John Gilmour,26,Scottish,Scotland,3,Goalkeeper,188,82,Right
P00443,Andrew McTominay,23,Scottish,Scotland,1,Goalkeeper,190,83,Right
P00263,Simon Wind,25,Danish,Denmark,3,Goalkeeper,189,80,Left
P00270,Mikkel Bah,32,Danish,Denmark,10,Defender,181,70,Left
P00264,Christian Maehle,32,Danish,Denmark,4,Defender,185,84,Right
P00284,Andreas Hojbjerg,24,Danish,Denmark,24,Forward,183,77,Left
P00281,Christian Skov,30,Danish,Denmark,21,Forward,171,73,Right
P00283,Simon Hansen,25,Danish,Denmark,23,Forward,187,78,Right
P00275,Simon Poulsen,23,Danish,Denmark,15,Midfielder,172,73,Right
P00271,Kasper Cornelius,31,Danish,Denmark,11,Defender,177,66,Right
P00265,Pierre-Emile Damsgaard,28,Danish,Denmark,5,Defender,188,71,Right
P00268,Joakim Maeland,25,Danish,Denmark,8,Defender,180,75,Left
P00285,Joakim Christensen,30,Danish,Denmark,25,Forward,191,81,Right
P00282,Pierre-Emile Laursen,24,Danish,Denmark,22,Forward,172,68,Right
P00277,Joakim Skov,28,Danish,Denmark,17,Midfielder,174,71,Right
P00266,Simon Dolberg,25,Danish,Denmark,6,Defender,185,77,Left
P00276,Andreas Vestergaard,27,Danish,Denmark,16,Midfielder,182,73,Left
P00278,Rasmus Laursen,21,Danish,Denmark,18,Midfielder,189,84,Left
P00286,Rasmus Wind,19,Danish,Denmark,26,Forward,182,78,Right
P00267,Andreas Lindstrom,25,Danish,Denmark,7,Defender,179,75,Right
P00273,Christian Wass,22,Danish,Denmark,13,Midfielder,184,77,Right
P00269,Rasmus Andersen,30,Danish,Denmark,9,Defender,183,76,Right
P00280,Kasper Hojbjerg,27,Danish,Denmark,20,Midfielder,173,71,Left
P00272,Jannik Olsen,25,Danish,Denmark,12,Defender,181,73,Right
P00279,Mikkel Hansen,22,Danish,Denmark,19,Midfielder,180,72,Right
P00274,Pierre-Emile Christensen,21,Danish,Denmark,14,Midfielder,177,74,Right
P00261,Christian Hojbjerg,31,Danish,Denmark,1,Goalkeeper,190,79,Right
P00262,Pierre-Emile Christensen,32,Danish,Denmark,2,Goalkeeper,184,78,Right
P00627,Pedro Cueva,23,Peruvian,Peru,3,Goalkeeper,187,76,Right
P00645,Paolo Gonzalez,27,Peruvian,Peru,21,Forward,167,76,Right
P00635,Sergio Lora,22,Peruvian,Peru,11,Defender,187,79,Right
P00634,Renato Traverso,33,Peruvian,Peru,10,Defender,179,80,Right
P00640,Luis Cartagena,30,Peruvian,Peru,16,Midfielder,176,68,Right
P00649,André Advincula,18,Peruvian,Peru,25,Forward,183,70,Right
P00632,André Yotun,27,Peruvian,Peru,8,Defender,188,81,Right
P00636,Alexander Hohberg,27,Peruvian,Peru,12,Defender,179,79,Left
P00647,Pedro Lliuya,25,Peruvian,Peru,23,Forward,194,75,Right
P00642,Christian Urruti,28,Peruvian,Peru,18,Midfielder,174,79,Right
P00646,Gianluca Urruti,26,Peruvian,Peru,22,Forward,184,74,Right
P00629,Gianluca Tapia,23,Peruvian,Peru,5,Defender,189,75,Left
P00648,Luis Lapadula,29,Peruvian,Peru,24,Forward,174,73,Left
P00650,Christian Cueva,26,Peruvian,Peru,26,Forward,175,72,Right
P00628,Paolo Carrillo,29,Peruvian,Peru,4,Defender,179,78,Right
